product_name,category,price,merchant_info,product_details,date_and_country_pf_review,review,review_title,reviewer_name,rating_elements,product_url
Montana West Genuine Leather Purses for Women Hobo Bags with Tooling Handle & Tassels,"Clothing, Shoes & Jewelry",69.99,Amazon.com,"Date First Available : September 14, 2022
ASIN : B0CGL2TK4J","Reviewed in the United States on September 16, 2023","It is made with nice thick leather that I can tell is going to hold its shape. It has little feet on the bottom so it stays put where I set it. Lots of access and separate pockets inside and out. This purse is going to be with me for a long time and is well worth the money. In fact, I would have paid more (shh!) :)",I absolutely LOVE this bag!,Hoozcryinow,5.0 out of 5 stars,https://www.amazon.com/dp/B0B63F7XXN/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0B63F7XXN&pd_rd_w=Z1JBb&content-id=amzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_p=386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_r=E1740B5Z8P59FYEZ4VQ8&pd_rd_wg=2ovRS&pd_rd_r=216c9052-9a28-4d27-b39d-855ce85594af&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM
Montana West Genuine Leather Purses for Women Hobo Bags with Tooling Handle & Tassels,"Clothing, Shoes & Jewelry",69.99,Amazon.com,"Date First Available : September 14, 2022
ASIN : B0CGL2TK4J","Reviewed in the United States on September 10, 2023","This is a great bag, sturdy, appears to be well made. I'm always looking for more than just 1 compartment so I can be organized, this has them :) The conceal area is easily available for either left or right. The one thing I would have loved to have is a cross-body strap - that would have gotten the bag 5 stars. It will still work great.",Nice bag!,Colleen H Kelley,4.0 out of 5 stars,https://www.amazon.com/dp/B0B63F7XXN/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0B63F7XXN&pd_rd_w=Z1JBb&content-id=amzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_p=386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_r=E1740B5Z8P59FYEZ4VQ8&pd_rd_wg=2ovRS&pd_rd_r=216c9052-9a28-4d27-b39d-855ce85594af&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM
Montana West Genuine Leather Purses for Women Hobo Bags with Tooling Handle & Tassels,"Clothing, Shoes & Jewelry",69.99,Amazon.com,"Date First Available : September 14, 2022
ASIN : B0CGL2TK4J","Reviewed in the United States on August 27, 2023","I love everything about this purse except for the thickness of the straps. I don't feel that they are strong enough to last the lifetime of the rest of the purse. I give the looks of the purse a 10, but the thin straps bring it down to an overall rating of 8",I love this purse,Kindle Customer,4.0 out of 5 stars,https://www.amazon.com/dp/B0B63F7XXN/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0B63F7XXN&pd_rd_w=Z1JBb&content-id=amzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_p=386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_r=E1740B5Z8P59FYEZ4VQ8&pd_rd_wg=2ovRS&pd_rd_r=216c9052-9a28-4d27-b39d-855ce85594af&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM
Montana West Genuine Leather Purses for Women Hobo Bags with Tooling Handle & Tassels,"Clothing, Shoes & Jewelry",69.99,Amazon.com,"Date First Available : September 14, 2022
ASIN : B0CGL2TK4J","Reviewed in the United States on September 7, 2023",Best pocketbook I’ve ever owned. The color goes with everything and the best features. I can carry everything I need and then some.,Love the leather,Shelby Alexander,5.0 out of 5 stars,https://www.amazon.com/dp/B0B63F7XXN/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0B63F7XXN&pd_rd_w=Z1JBb&content-id=amzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_p=386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_r=E1740B5Z8P59FYEZ4VQ8&pd_rd_wg=2ovRS&pd_rd_r=216c9052-9a28-4d27-b39d-855ce85594af&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM
Montana West Genuine Leather Purses for Women Hobo Bags with Tooling Handle & Tassels,"Clothing, Shoes & Jewelry",69.99,Amazon.com,"Date First Available : September 14, 2022
ASIN : B0CGL2TK4J","Reviewed in the United States on August 9, 2023",This is probably the nicest purse I have ever purchased. It has tons of pockets inside and out and the interior lining is strong and not likely to rip any time soon. It is simply beautiful and the dust bag and smell of real leather is a bonus. You won't be disappointed.,"Beautifully made, lots of pockets inside and out",Tammy,5.0 out of 5 stars,https://www.amazon.com/dp/B0B63F7XXN/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0B63F7XXN&pd_rd_w=Z1JBb&content-id=amzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_p=386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_r=E1740B5Z8P59FYEZ4VQ8&pd_rd_wg=2ovRS&pd_rd_r=216c9052-9a28-4d27-b39d-855ce85594af&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM
Montana West Genuine Leather Purses for Women Hobo Bags with Tooling Handle & Tassels,"Clothing, Shoes & Jewelry",69.99,Amazon.com,"Date First Available : September 14, 2022
ASIN : B0CGL2TK4J","Reviewed in the United States on August 9, 2023","This handbag certainly is made extremely well. The quality far exceeds what I expected to receive...better made than handbags several times the price! The color is exquisite...definitely not a "" cooki cutter"" color , but rather a hue that surpasses the norm. I am beyond pleased with this purchase ...I have found a gem.",TOP QUALITY,Barbara Jane,5.0 out of 5 stars,https://www.amazon.com/dp/B0B63F7XXN/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0B63F7XXN&pd_rd_w=Z1JBb&content-id=amzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_p=386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_r=E1740B5Z8P59FYEZ4VQ8&pd_rd_wg=2ovRS&pd_rd_r=216c9052-9a28-4d27-b39d-855ce85594af&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM
Montana West Genuine Leather Purses for Women Hobo Bags with Tooling Handle & Tassels,"Clothing, Shoes & Jewelry",69.99,Amazon.com,"Date First Available : September 14, 2022
ASIN : B0CGL2TK4J","Reviewed in the United States on September 2, 2023","Great purse, love the room it has.",Love Love Love,Tracy N Hansen,5.0 out of 5 stars,https://www.amazon.com/dp/B0B63F7XXN/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0B63F7XXN&pd_rd_w=Z1JBb&content-id=amzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_p=386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_r=E1740B5Z8P59FYEZ4VQ8&pd_rd_wg=2ovRS&pd_rd_r=216c9052-9a28-4d27-b39d-855ce85594af&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM
Montana West Genuine Leather Purses for Women Hobo Bags with Tooling Handle & Tassels,"Clothing, Shoes & Jewelry",69.99,Amazon.com,"Date First Available : September 14, 2022
ASIN : B0CGL2TK4J","Reviewed in Canada on January 15, 2017",Good quality! Bought it for my sister for christmas and she loves it!,Five Stars,Lydia,"<span class=""a-icon-alt"">5.0 out of 5 stars</span>",https://www.amazon.com/dp/B0B63F7XXN/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0B63F7XXN&pd_rd_w=Z1JBb&content-id=amzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_p=386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_r=E1740B5Z8P59FYEZ4VQ8&pd_rd_wg=2ovRS&pd_rd_r=216c9052-9a28-4d27-b39d-855ce85594af&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in the United States on September 19, 2023",Great quality and size for an awesome price!,Must have crossbody,Wendy,5.0 out of 5 stars,https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
Michael Kors Women's Jet Set Item Lg Crossbody,"Clothing, Shoes & Jewelry",79.0,Amazon.com,"Is Discontinued By Manufacturer : No
Product Dimensions : 10 x 6 x 2 inches; 0.01 Ounces
Item model number : 1129
Department : Womens
Date First Available : August 1, 2018
ASIN : B07G3HSMNY","Reviewed in the United States on August 31, 2023","I’m so in love, strap is adjustable and the bag is cute, perfect size and it gives luxury. Tryin to upload a pic but it won’t allow me",Cutest,Deniel,5.0 out of 5 stars,https://www.amazon.com/Michael-Kors-Large-Crossbody-35F8GTTC3B/dp/B07G3HSMNY/ref=sr_1_4?keywords=bags+mk&qid=1695432271&sr=8-4
